product_name,matched_category_id,confidence,match_status
#1-2机组,,0.0000,NO_MATCH
(25 S,,0.0000,NO_MATCH
(R,25498,0.4000,LOW_CONFIDENCE
(R)-3-(3,,0.0000,NO_MATCH
(R)-5''-甲氧基劳丹素二苯甲酰酒石酸盐,,0.0000,NO_MATCH
(R)-P3HB,25498,0.3333,LOW_CONFIDENCE
(R)?(2?(4?(6?氯苯并噁唑?2?氧基)苯氧基)丙酰基)甘氨酸乙酯,,0.0000,NO_MATCH
(S)-2-氨基-3-(2-氯-4-甲基苯基)丙-1-醇中间体,,0.0000,NO_MATCH
0#锌,6069,0.5000,MATCHED
0.02克足金手机贴,,0.0000,NO_MATCH
0.12毫米超薄浮法玻璃,,0.0000,NO_MATCH
"0.13"" 480P蓝绿红微显示屏",,0.0000,NO_MATCH
0.18umCMOS,,0.0000,NO_MATCH
"0.22"" 1080P蓝绿红微显示屏",,0.0000,NO_MATCH
0.235秒超高端CT,,0.0000,NO_MATCH
"0.31"" 720P蓝绿红紫微显示屏",,0.0000,NO_MATCH
0.35umCMOS,,0.0000,NO_MATCH
0.8毫米超薄纤维板生产线,,0.0000,NO_MATCH
0/1-10V,,0.0000,NO_MATCH
008,,0.0000,NO_MATCH
0303 0202产品,,0.0000,NO_MATCH
0402,,0.0000,NO_MATCH
0404和0203两种规格的MIP封装载板,,0.0000,NO_MATCH
0603,,0.0000,NO_MATCH
0805,,0.0000,NO_MATCH
0BB高效组件,,0.0000,NO_MATCH
1-丁烯装置,,0.0000,NO_MATCH
1-己烯,,0.0000,NO_MATCH
1-辛烯,,0.0000,NO_MATCH
1.2L发动机,,0.0000,NO_MATCH
1.2m天窗,,0.0000,NO_MATCH
1.5K真全面无孔屏,,0.0000,NO_MATCH
1.5L发动机,,0.0000,NO_MATCH
1.5T EVO II净效发动机,,0.0000,NO_MATCH
1.5T EVO II发动机,,0.0000,NO_MATCH
1.5T 插混系统,,0.0000,NO_MATCH
1.5TGDI混动专用发动机,,0.0000,NO_MATCH
1.5T发动机,,0.0000,NO_MATCH
1.5T增程专用发动机,,0.0000,NO_MATCH
1.5T增程系统,,0.0000,NO_MATCH
1.5T蓝鲸发动机,,0.0000,NO_MATCH
1.5吨/小时再液化量大型深冷装置,,0.0000,NO_MATCH
1.6T光收发电芯片,,0.0000,NO_MATCH
1.6T光模块,,0.0000,NO_MATCH
1.6T光模块PCB,,0.0000,NO_MATCH
1.6T光模块基板,,0.0000,NO_MATCH
1.6吨人上型三向堆垛车冷库专用型,,0.0000,NO_MATCH
1.6吨坐驾式三向堆垛车,,0.0000,NO_MATCH
1.6吨站驾式三向堆垛车,,0.0000,NO_MATCH
1.6吨级机器人,,0.0000,NO_MATCH
1.6微米Pitch IGBT,26760,0.3125,LOW_CONFIDENCE
10.25英寸全液晶仪表,,0.0000,NO_MATCH
100%果汁,,0.0000,NO_MATCH
100%橙汁,,0.0000,NO_MATCH
100-150V器件,,0.0000,NO_MATCH
10000kVA干式变压器,,0.0000,NO_MATCH
1000MPa级水电用钢,,0.0000,NO_MATCH
1000MPa钢材,,0.0000,NO_MATCH
1000MW机组励磁系统交流灭磁开关,,0.0000,NO_MATCH
1000型碱性电解制氢系统,,0.0000,NO_MATCH
1000计算量子比特的相干光量子计算机,,0.0000,NO_MATCH
100G PAM4 VCSEL芯片,,0.0000,NO_MATCH
100G QSFP28 ER4/ZR4,,0.0000,NO_MATCH
100G QSFP28单波系列,,0.0000,NO_MATCH
100G光模块,,0.0000,NO_MATCH
100K DMIPS CPU架构,,0.0000,NO_MATCH
100K及以上巨丝束碳纤维,,0.0000,NO_MATCH
100kW/215kWh工商业一体机,,0.0000,NO_MATCH
100kW单体电解槽,,0.0000,NO_MATCH
100吨电动振动试验系统,,0.0000,NO_MATCH
100寸柔光艺术电视MIRA,,0.0000,NO_MATCH
100级索具,,0.0000,NO_MATCH
100英寸电视机,,0.0000,NO_MATCH
101kWh电池,,0.0000,NO_MATCH
102英寸Micro-LED拼接屏,26663,0.3333,LOW_CONFIDENCE
10300箱LNG双燃料集装箱船,,0.0000,NO_MATCH
104Ah电芯,,0.0000,NO_MATCH
108寸4K无缝拼接Micro-LED大屏,,0.0000,NO_MATCH
10G PON网关,,0.0000,NO_MATCH
10G PON设备,,0.0000,NO_MATCH
10N双组元推力器,,0.0000,NO_MATCH
10kW AEM电解水制氢系统成套装备,,0.0000,NO_MATCH
10kg工业机器人,11418,0.3333,LOW_CONFIDENCE
10安全气囊系统,,0.0000,NO_MATCH
10米—12米自动驾驶公交,,0.0000,NO_MATCH
11.5万吨油轮,,0.0000,NO_MATCH
110 A8 Ultra新品Mini背光电视,,0.0000,NO_MATCH
1100TEU支线型箱船,,0.0000,NO_MATCH
1100千伏GIS,,0.0000,NO_MATCH
110英寸,,0.0000,NO_MATCH
112G SerDes,,0.0000,NO_MATCH
1130安时电池,,0.0000,NO_MATCH
116英寸电视机,,0.0000,NO_MATCH
117组分VOCs标准物质,,0.0000,NO_MATCH
11MW漂浮式风机,,0.0000,NO_MATCH
11万吨级油轮,,0.0000,NO_MATCH
11英寸液晶仪表盘,,0.0000,NO_MATCH
12.7英寸Micro-LED拼接显示模组,,0.0000,NO_MATCH
12.8寸副驾娱乐屏,,0.0000,NO_MATCH
12.9英寸中控屏,,0.0000,NO_MATCH
12000m3三瓣型LEG货罐,,0.0000,NO_MATCH
12000吨锻压线,,0.0000,NO_MATCH
1200E,,0.0000,NO_MATCH
1200V 13mΩ SiC MOSFET,,0.0000,NO_MATCH
1200V 40/80mΩ SiC MOSFET,,0.0000,NO_MATCH
1200V 50A Field Stop Trench IGBT,,0.0000,NO_MATCH
1200V 8mΩ SiC MOSFET,,0.0000,NO_MATCH
1200V SiC MOSFET,22469,0.3000,LOW_CONFIDENCE
1200V/160A三电平IGBT模块,,0.0000,NO_MATCH
1200V/40mΩ SiC-MOSFET TM2G00400120K,,0.0000,NO_MATCH
1200VSiCMOS,,0.0000,NO_MATCH
1200VSiCSBD,,0.0000,NO_MATCH
1200V系列SiC SBD,,0.0000,NO_MATCH
120Hz高端TV显示面板,,0.0000,NO_MATCH
120W原装充电器,,0.0000,NO_MATCH
120W快充,,0.0000,NO_MATCH
120W有线快充,,0.0000,NO_MATCH
120级索具,,0.0000,NO_MATCH
122L下沉式后备箱,,0.0000,NO_MATCH
12310m3双耳型LNG燃料罐,,0.0000,NO_MATCH
126kV 真空GIS,,0.0000,NO_MATCH
126kV真空环保GIS,,0.0000,NO_MATCH
126kV真空环保型GIS,,0.0000,NO_MATCH
128色氛围灯,,0.0000,NO_MATCH
12GB LPDDR5,,0.0000,NO_MATCH
12L大容量防下潜气囊,,0.0000,NO_MATCH
12V/24V/48V智能磷酸铁锂电池,,0.0000,NO_MATCH
12bit 16GSPS ADC芯片,,0.0000,NO_MATCH
12bit 40GSPS ADC芯片,,0.0000,NO_MATCH
12位8G高速高精度A/D转换器,,0.0000,NO_MATCH
12米智能驾驶客车,,0.0000,NO_MATCH
